,Page_No.,Type_of_property,Place,Property_Name,Price_in_lakhs,Min_Area(sft),Max_Area(sft),Posted_Date,Posted_By,BHK,Baths
0,1,Residential land / Plot,Medchal,,0.0,1800 ,1800 ,2021-07-19,Dealer,0,0
1,1,Residential land / Plot,Maheshwaram,,22.0,1800 ,1800 ,2021-07-12,Dealer,0,0
2,1,Residential Apartment,Patancheru,Signature Fortius,45.0,1210 ,1210 ,2021-07-08,Builder,2 ,0
3,1,Independent House,Patancheru,Krushi Madhava Nest,144.0,2280,2316 ,2021-08-03,Builder,4 ,0
4,1,Residential Apartment,Tellapur,Ananda Homes The Ozone Heights,127.0,2205,2435 ,2021-08-06,Builder,3 ,3 
5,1,Independent House,Kondapur,Vessella Woods,705.0,3584,4259 ,2021-07-02,Builder,4 ,6 
6,1,Independent House,Shamshabad,Sreenidhi Luxury Park II,231.0,3338,3844 ,2021-06-25,Builder,4 ,0
7,1,Residential Apartment,Shaikpet,Aditya Athena,174.0,1715,2435 ,2021-03-04,Builder,3 ,3 
8,1,Residential Apartment,Kondapur,GHR Titania,158.0,1686,2509 ,2021-07-09,Builder,3 ,3 
9,1,Residential Apartment,Kollur,Signature Altius,63.9,1420 ,1420 ,2021-07-16,Builder,2 ,0
10,1,Residential Apartment,Kollur,Signature Altius,69.75,1550,2425 ,2021-07-16,Builder,3 ,3 
11,1,Residential Apartment,Rajendra Nagar,Vashnavis Tarak Residency,52.8,1260,1320 ,,Builder,3 ,3 
12,1,Independent House,Vanasthalipuram,APR Praveens Crystal Avenue,198.0,2190,2865 ,2021-07-05,Builder,4 ,4 
13,1,Residential Apartment,Gundlapochampalli,Aparna Kanopy Yellow Bells,0.0,1536,1911 ,,Builder,3 ,0
14,1,Residential Apartment,Gundlapochampalli,Aparna Kanopy Yellow Bells,0.0,1294,1361 ,,Builder,2 ,0
15,1,Residential Apartment,Himayat Nagar,My Fortune Pride,0.0,2850,3590 ,2021-08-06,Builder,5 ,5 
16,1,Residential Apartment,Hi-Tech City,Rainbow Vistas at Rock Garden,222.0,3000 ,3000 ,2021-05-19,Builder,4 ,4 
17,1,Residential Apartment,Dr A.S Rao Nagar,Om Sree Brilliance,119.0,2130,2200 ,2021-06-22,Builder,3 ,0
18,1,Residential Apartment,Sainikpuri,GKs Majestic,80.56,1695,2266 ,,Builder,3 ,0
19,1,Residential Apartment,Alwal,Nestcons Chintala Residency,78.66,1393,1589 ,2021-07-08,Builder,3 ,3 
20,1,Residential Apartment,Alwal,Nestcons Chintala Residency,60.69,1107,1226 ,2021-07-08,Builder,2 ,2 
21,1,Residential Apartment,Himayat Nagar,My Fortune Pride,0.0,1425,2205 ,2021-08-06,Builder,3 ,3 
22,1,Residential Apartment,Manikonda,Anuhar Rami Reddy Towers,92.04,1615,2810 ,2021-08-07,Builder,3 ,3 
23,1,Residential Apartment,Manikonda,Anuhar Rami Reddy Towers,82.46,1281,1447 ,2021-08-07,Builder,2 ,2 
24,1,Residential Apartment,Bahadurpally,Praneeth Pranav Flora,62.99,1500 ,1500 ,2021-06-11,Builder,3 ,3 
25,2,Residential land / Plot,Rudraram,Vinayaka Kohinur City,36.29,1350,1980 ,2021-06-11,Dealer,0,0
26,2,Residential Apartment,Bachupally,Fortune Mayura,87.36,1450,1560 ,2021-07-27,Builder,3 ,3 
27,2,Independent House,Mallampet,APR Mukkas Praveens Signator,195.0,2180,2985 ,2021-07-05,Builder,4 ,4 
28,2,Residential Apartment,LB Nagar,Namishree Twin Towers BPS,71.83,1285 ,1285 ,2021-06-27,Builder,2 ,0
29,2,Residential Apartment,Hi-Tech City,Rainbow Vistas at Rock Garden,207.0,2000,2795 ,2021-05-19,Builder,3 ,0
30,2,Independent House,Bandlaguda,SMR Vinay Casa Carino,767.0,4310,5116 ,2021-08-03,Builder,4 ,7 
31,2,Residential Apartment,LB Nagar,Namishree Twin Towers BPS,90.11,1612,1800 ,2021-06-27,Builder,3 ,0
32,2,Residential Apartment,Sainikpuri,GK Festoon,69.94,1345 ,1345 ,2021-07-23,Builder,2 ,0
33,2,Residential Apartment,Bahadurpally,Praneeth Pranav Flora,56.77,1153,1352 ,2021-06-11,Builder,2 ,2 
34,2,Residential Apartment,Narsingi,Hallmark Sunnyside,76.1,1210,1290 ,2021-07-05,Builder,2 ,2 
35,2,Residential Apartment,Miyapur,Aspire Spaces Ameya,59.85,1210,1330 ,2021-08-03,Builder,2 ,2 
36,2,Residential Apartment,Nallagandla,Aparna Sarovar Zicon,201.0,1529,2875 ,2021-07-24,Builder,4 ,0
37,2,Residential Apartment,Adibatla,Maram Garlapati Homes,53.56,1068,1338 ,2021-04-02,Builder,2 ,2 
38,2,Residential Apartment,Kollur,Praneeths Jaagruthi Elite,79.08,1617,1683 ,2021-06-11,Builder,3 ,3 
39,2,Residential Apartment,Trimulgherry,Relcon Marvel Apartments,128.0,2055,2060 ,2021-06-26,Builder,3 ,3 
40,2,Residential Apartment,Yapral,Om Sree Heights,159.0,2225,2950 ,2021-06-07,Builder,3 ,0
41,2,Residential Apartment,Bachupally,Fortune Mayura,66.81,1193 ,1193 ,2021-07-08,Builder,2 ,2 
42,2,Residential Apartment,Narsingi,Hallmark Skyrena,99.72,1635,2255 ,2021-07-06,Builder,3 ,0
43,2,Residential Apartment,Sainikpuri,GK S Zenith,63.44,1180,1220 ,2021-04-19,Builder,2 ,0
44,2,Residential Apartment,Narsingi,Hallmark Sunnyside,90.14,1528,2228 ,2021-07-05,Builder,3 ,3 
45,2,Residential Apartment,Kismathpur,Meenazi Elite,90.0,1585,1915 ,2021-04-06,Builder,3 ,3 
46,2,Residential Apartment,Kompally,Aparna Serenity,0.0,2630,2730 ,2021-07-24,Builder,4 ,0
47,2,Residential Apartment,Jubilee Hills,Aditya Beaumont,162.0,1700,2100 ,2021-06-18,Builder,3 ,3 
48,2,Residential Apartment,Kompally,Aparna Serenity,87.89,1465,2230 ,2021-07-24,Builder,3 ,0
49,2,Independent House,Tukkuguda,Nest Makers Bliss In The Woods,770.0,6500,9000 ,2021-04-21,Builder,5 ,5 
50,3,Residential Apartment,Kondapur,Alekhya Bamboo Grove,104.0,1665 ,1665 ,2021-07-26,Builder,3 ,3 
51,3,Residential Apartment,Kompally,Aparna Serenity,0.0,1335 ,1335 ,2021-07-24,Builder,2 ,2 
52,3,Residential Apartment,Kondapur,GHR Titania,0.0,1270,1284 ,2021-07-09,Builder,2 ,2 
53,3,Residential Apartment,Kompally,Manbhum Home Tree,68.9,1198,1325 ,2021-06-04,Builder,2 ,2 
54,3,Residential Apartment,Nallagandla,Aparna Sarovar Zicon,0.0,1215,1909 ,2021-07-24,Builder,2 ,0
55,3,Residential Apartment,Kismathpur,Gowra Urbanwinds,92.3,1760,1775 ,2021-06-18,Builder,4 ,0
56,3,Residential Apartment,Malkajgiri,Jains Balaji Nilayam Casa Waterside,158.0,2630,2635 ,2021-04-06,Builder,4 ,4 
57,3,Residential Apartment,Kismathpur,Gowra Urbanwinds,84.5,1340,1625 ,2021-06-18,Builder,3 ,0
58,3,Residential Apartment,Nallagandla,Aparna Sarovar Zicon,0.0,1309,2575 ,2021-07-24,Builder,3 ,0
59,3,Independent House,Tukkuguda,Nest Makers Bliss In The Woods,383.0,4750,5250 ,2021-04-21,Builder,4 ,0
60,3,Residential Apartment,Adibatla,Maram Garlapati Homes,78.96,1338,1973 ,2021-04-02,Builder,3 ,3 
61,3,Residential Apartment,Kompally,Manbhum Home Tree,92.09,1406,1771 ,2021-06-04,Builder,3 ,3 
62,3,Residential land / Plot,Maheshwaram,Victori Amaze Sree Valley,0.0,1800,3636 ,2021-08-03,Builder,0,0
63,3,Residential Apartment,Nizampet,Maruthi Elite,74.62,1265,1435 ,2021-07-01,Builder,2 ,2 
64,3,Residential Apartment,Sainikpuri,GK S Zenith,99.32,1460,1910 ,2021-04-19,Builder,3 ,0
65,3,Residential Apartment,Sainikpuri,Modi Greenwood Heights,81.67,1715,1945 ,2021-06-02,Builder,3 ,3 
66,3,Residential Apartment,Yapral,Om Sree Heights,0.0,1485 ,1485 ,2021-06-29,Builder,2 ,0
67,3,Residential Apartment,Malkajgiri,Jains Balaji Nilayam Casa Waterside,79.79,1330 ,1330 ,2021-04-06,Builder,2 ,2 
68,3,Residential Apartment,Malkajgiri,Jains Balaji Nilayam Casa Waterside,99.28,1655,2245 ,2021-04-06,Builder,3 ,3 
69,3,Residential Apartment,Sainikpuri,GKs Silver Leaf,59.25,1138,1185 ,,Builder,2 ,0
70,3,Residential Apartment,Sainikpuri,GKs Silver Leaf,81.9,1637 ,1637 ,,Builder,3 ,0
71,3,Residential Apartment,Bachupally,Praneeth Pranav Townsquare,92.0,1494,1554 ,2021-06-11,Builder,3 ,3 
72,3,Residential Apartment,Miyapur,Aspire Spaces Ameya,87.3,1495,1940 ,2021-08-03,Builder,3 ,3 
73,3,Residential land / Plot,Rudraram,Navee Aushu Homes,72.0,1350,3600 ,,Builder,0,0
74,3,Residential land / Plot,Shad nagar,Palm Greens,20.99,1350,9000 ,2021-07-27,Builder,0,0
75,4,Residential Apartment,Tellapur,Aakriti Cyan,75.83,1265,1431 ,2021-07-31,Builder,2 ,0
76,4,Residential Apartment,Shaikpet,Aparna One,0.0,4155,5216 ,2021-04-12,Builder,4 ,5 
77,4,Independent House,Kompally,Shangrila Villas,189.0,2700 ,2700 ,2021-06-08,Builder,3 ,0
78,4,Residential land / Plot,Ibrahimpatnam,Sree Bhuvi Sterling County,17.36,1250,13103 ,2021-08-07,Dealer,0,0
79,4,Independent House,Shamirpet,Prajay Treetops,201.0,2938,3730 ,,Builder,3 ,0
80,4,Residential Apartment,Kavadiguda,Salarpuria Sattva Necklace Pride,122.0,1342 ,1342 ,2021-07-09,Builder,2 ,2 
81,4,Residential Apartment,Gachibowli,Pacifica Hillcrest,82.73,1199,1215 ,2021-08-02,Builder,3 ,3 
82,4,Residential Apartment,Kavadiguda,Salarpuria Sattva Necklace Pride,236.0,2432,2755 ,2021-07-09,Builder,3 ,0
83,4,Residential Apartment,Tellapur,Aakriti Cyan,91.3,1315,1723 ,2021-07-31,Builder,3 ,0
84,4,Residential Apartment,LB Nagar,SNR Sri Sri Kala Kuteers Gold,92.07,1485,1810 ,2021-04-05,Builder,3 ,3 
85,4,Residential Apartment,Dullapally,Keerthi Shantha Residency,50.35,945,1325 ,2021-06-03,Dealer,2 ,0
86,4,Residential Apartment,LB Nagar,SNR Sri Sri Kala Kuteers Gold,83.7,1250,1350 ,2021-04-05,Builder,2 ,2 
87,4,Residential Apartment,Bachupally,Codename Talk of Hyderabad,57.15,1099 ,1099 ,2021-07-17,Dealer,2 ,2 
88,4,Residential Apartment,Bachupally,Codename Talk of Hyderabad,99.53,1914,2021 ,2021-07-17,Dealer,4 ,3 
89,4,Residential Apartment,Bachupally,Codename Talk of Hyderabad,84.08,1353,1617 ,2021-07-17,Dealer,3 ,0
90,4,Independent House,Chintalkunta,Abhyudayanagar Colony,0.0,2700 ,2700 ,,Owner,6 ,9 
91,4,Residential Apartment,Masab Tank,Manisha Dharam Vatika,0.0,1724 ,1724 ,2021-08-07,Builder,3 ,3 
92,4,Residential Apartment,Bolarum,Ark Homes,69.46,1365,1510 ,2021-06-17,Builder,3 ,0
93,4,Residential Apartment,Gachibowli,Pacifica Hillcrest,115.0,1670,1699 ,2021-08-02,Builder,4 ,4 
94,4,Residential Apartment,Kollur,Ira Miracle,82.73,1655,2455 ,2021-07-12,Dealer,3 ,3 
95,4,Residential Apartment,Kismathpur,Meenazi Elite,61.57,1110,1310 ,2021-04-06,Builder,2 ,2 
96,4,Residential Apartment,Gachibowli,Pacifica Hillcrest,54.3,787,940 ,2021-08-02,Builder,2 ,2 
97,4,Residential Apartment,Bachupally,Urbanrise Residences,40.61,752 ,752 ,2021-07-15,Builder,2 ,2 
98,4,Residential Apartment,Rajendra Nagar,Provident Kenworth,89.0,1047,1346 ,2021-06-05,Builder,3 ,3 
99,4,Residential Apartment,Bolarum,Ark Homes,52.44,1075,1140 ,2021-06-17,Builder,2 ,2 
100,5,Residential Apartment,Nizampet,Gokul Bhuvanam,86.1,1360,1435 ,2021-03-04,Builder,2 ,2 
101,5,Residential Apartment,Tukkuguda,Golden Circle,0.0,1525,2290 ,2021-07-08,Builder,3 ,0
102,5,Residential Apartment,Tukkuguda,Golden Circle,0.0,1335,1560 ,2021-07-08,Builder,2 ,2 
103,5,Residential Apartment,Kondapur,BSCPL Bollineni Bion,174.0,1840,1855 ,2021-07-01,Builder,3 ,3 
104,5,Residential Apartment,Tukkuguda,Golden Circle,0.0,840,1215 ,2021-07-08,Builder,1 ,0
105,5,Residential land / Plot,Tukkuguda,Bhashyam Premium County,0.0,1080,9000 ,2021-07-20,Dealer,0,0
106,5,Residential land / Plot,Sangareddy,Alekhya NSR County,0.0,1503,4500 ,2021-07-26,Dealer,0,0
107,5,Residential land / Plot,Tukkuguda,Bhashyam Premium County,0.0,1080,9000 ,2021-07-20,Dealer,0,0
108,5,Residential Apartment,Kompally,Sterling Heights,58.72,1425,1566 ,2021-07-27,Builder,3 ,0
109,5,Residential Apartment,Bachupally,Urbanrise Residences,58.23,931,1120 ,2021-07-14,Builder,3 ,0
110,5,Residential Apartment,Nallagandla,Aakriti Miro,82.08,1303,1856 ,2021-06-10,Builder,3 ,0
111,5,Residential land / Plot,Shad nagar,Virtusa Lorna Greens,20.99,1350,14498 ,2021-07-15,Dealer,0,0
112,5,Residential Apartment,Kokapet,ASBL Spire,127.0,1905,2120 ,2021-07-21,Dealer,3 ,3 
113,5,Independent House,Narsingi,Vessella Meadows,888.0,5222,5371 ,2021-07-01,Builder,5 ,0
114,5,Residential Apartment,Nallagandla,Aakriti Miro,88.19,1119,1400 ,2021-06-10,Builder,2 ,2 
115,5,Independent House,Narsingi,Vessella Meadows,755.0,3567,4464 ,2021-07-01,Builder,4 ,0
116,5,Residential land / Plot,Rudraram,Pavan Green West,28.5,1350,9000 ,2021-07-17,Dealer,0,0
117,5,Residential Apartment,Narsingi,Rajapushpa Provincia,91.78,1370 ,1370 ,,Builder,2 ,0
118,5,Independent House,Narsingi,Vessella Meadows,494.0,2900,2908 ,2021-07-01,Builder,3 ,4 
119,5,Residential land / Plot,Rudraram,Pavan Green West,28.5,1350,9000 ,2021-07-18,Dealer,0,0
120,5,Residential Apartment,Shaikpet,Salarpuria Sattva Magnus,270.0,2960,2965 ,2021-07-09,Builder,4 ,5 
121,5,Residential Apartment,Shaikpet,Salarpuria Sattva Magnus,127.0,1495,2300 ,2021-07-09,Builder,3 ,0
122,5,Independent House,Kompally,Saanvi Pride Homes,203.0,2262,2700 ,2021-06-05,Builder,3 ,3 
123,5,Residential Apartment,Nagole,Pallavi Gardenia,94.13,1432,1883 ,,Builder,3 ,0
124,5,Residential Apartment,Nagole,Pallavi Gardenia,94.13,1432,1883 ,,Builder,3 ,0
125,6,Residential Apartment,Nagole,Pallavi Gardenia,65.79,1316 ,1316 ,,Builder,2 ,2 
126,6,Residential Apartment,Nagole,Pallavi Gardenia,94.13,1432,1883 ,,Builder,3 ,0
127,6,Residential Apartment,Nagole,Pallavi Gardenia,0.0,1316 ,1316 ,,Builder,2 ,2 
128,6,Residential Apartment,Nagole,Pallavi Gardenia,0.0,1316 ,1316 ,,Builder,2 ,2 
129,6,Residential Apartment,Chandanagar,Infocity Eyrie,95.31,1765,1905 ,2021-04-05,Builder,3 ,0
130,6,Residential Apartment,Kokapet,Jaswitha Luxor,133.0,1960,2300 ,2021-08-06,Builder,3 ,3 
131,6,Residential land / Plot,Bhongir,Suprabhat Heights,26.84,1611,10530 ,2021-07-22,Builder,0,0
132,6,Residential Apartment,Shaikpet,Salarpuria Sattva Magnus,103.0,1200,1280 ,2021-07-09,Builder,2 ,2 
133,6,Residential Apartment,Narsingi,Rajapushpa Provincia,178.0,1715,2660 ,,Builder,3 ,0
134,6,Residential Apartment,Bandlaguda,SMR Vinay Boulder Woods,135.0,2460 ,2460 ,2021-06-01,Builder,4 ,4 
135,6,Residential Apartment,Kompally,Sunyuga Elegance,90.4,1400,2260 ,,Builder,3 ,0
136,6,Residential Apartment,Kompally,Sunyuga Elegance,51.6,1290 ,1290 ,,Builder,2 ,0
137,6,Residential Apartment,Kompally,Sunyuga Vista,51.23,1175,1220 ,,Builder,2 ,2 
138,6,Residential Apartment,Kompally,Sunyuga Vista,77.26,1500,1840 ,,Builder,3 ,3 
139,6,Residential Apartment,Bandlaguda,SMR Vinay Boulder Woods,88.28,1340,1605 ,2021-06-01,Builder,2 ,2 
140,6,Residential land / Plot,Maheshwaram,NRI Golden City,106.0,7362 ,7362 ,2021-03-17,Owner,0,0
141,6,Residential Apartment,Bandlaguda,GKRS Bliss I,48.4,970,1057 ,2021-04-21,Builder,1 ,0
142,6,Independent House,Gachibowli,,450.0,206 ,206 ,2021-07-28,Owner,4 ,4 
143,6,Independent House,Nacharam,,360.0,1890 ,1890 ,2021-04-05,Owner,6 ,5 
144,6,Residential land / Plot,Bhongir,Real Visions Venus Grand City,40.03,900,3600 ,2021-05-24,Dealer,0,0
145,6,Residential Apartment,Shamirpet,Nul,32.0,1100 ,1100 ,2021-07-27,Builder,2 ,2 
146,6,Residential Apartment,Krishna Reddy Pet,Asrithas Jewels County,87.97,1460,1955 ,2021-08-05,Dealer,3 ,0
147,6,Independent House,LB Nagar,Affluence,328.0,3745,4132 ,2021-08-06,Builder,4 ,4 
148,6,Residential Apartment,Chowdhariguda,AV SVS Magnifique,30.44,1015 ,1015 ,2021-08-06,Builder,2 ,0
149,6,Residential Apartment,Bandlaguda,SMR Vinay Boulder Woods,76.45,1390,2240 ,2021-06-01,Builder,3 ,3 
150,7,Residential Apartment,Miyapur,Sree Dhrisha Homes,123.0,2200 ,2200 ,2021-06-09,Builder,3 ,3 
151,7,Residential Apartment,Bachupally,Codename Talk of Hyderabad,70.36,1353 ,1353 ,2021-07-23,Dealer,3 ,2 
152,7,Residential Apartment,Kompally,Aarohi King Luxury Residency,38.86,1290,1495 ,2021-08-06,Builder,2 ,0
153,7,Residential Apartment,Kompally,Sophists Myra,49.21,1290,1295 ,2021-07-26,Builder,2 ,2 
154,7,Residential land / Plot,Tukkuguda,Bhashyam Premium County,0.0,1080,9000 ,2021-07-30,Dealer,0,0
155,7,Residential Apartment,Bandlaguda,GKRS Bliss I,78.67,1730 ,1730 ,2021-04-21,Builder,3 ,0
156,7,Residential land / Plot,Maheshwaram,MNR Resorts,43.56,2178,5445 ,2021-07-16,Dealer,0,0
157,7,Residential land / Plot,Maheshwaram,Grand Arena,25.06,1503,7534 ,2021-07-31,Builder,0,0
158,7,Residential Apartment,Pragathi Nagar,Ramky One Harmony,69.84,1155,1160 ,2021-08-02,Builder,2 ,2 
159,7,Residential Apartment,Pragathi Nagar,Ramky One Harmony,98.38,1540,1595 ,2021-08-02,Builder,3 ,3 
160,7,Residential Apartment,Nallagandla,Ramky One Kosmos,88.0,1070 ,1070 ,2021-07-12,Owner,2 ,2 
161,7,Residential Apartment,Krishna Reddy Pet,Asrithas Jewels County,65.07,1134,1446 ,2021-08-05,Dealer,2 ,0
162,7,Residential Apartment,Bandlaguda,GKRS Bliss I,67.79,1511 ,1511 ,2021-04-21,Builder,2 ,0
163,7,Residential Apartment,Madhapur,Ayyanna Pristine,358.0,3130,3250 ,,Dealer,4 ,0
164,7,Residential land / Plot,Shamshabad,BBG True Green,0.0,1350,1710 ,2021-07-01,Dealer,0,0
165,7,Residential land / Plot,Choutuppal,Sri Alekya Tarang City,34.38,1485,3600 ,2021-07-01,Dealer,0,0
166,7,Residential Apartment,Narsingi,SSD Aditya Nest,55.44,900,907 ,2021-08-06,Dealer,2 ,2 
167,7,Residential Apartment,Gachibowli,Greenmark Mayfair Apartments,68.09,1261 ,1261 ,2021-07-27,Dealer,2 ,0
168,7,Residential Apartment,Alwal,Alpine GMR Springfields,54.42,1296 ,1296 ,2021-08-05,Dealer,3 ,3 
169,7,Residential land / Plot,Choutuppal,JB Nature Valley,0.0,1503,5400 ,2021-07-09,Dealer,0,0
170,7,Residential land / Plot,Yacharam,Samooha Golden Gate Township,0.0,1440,7274520 ,2021-06-30,Dealer,0,0
171,7,Residential land / Plot,Shad nagar,Virtusa Tuxedo Park,54.0,1800,3600 ,2021-08-02,Dealer,0,0
172,7,Residential Apartment,Bachupally,Urbanrise Residences,57.14,1099 ,1099 ,2021-07-16,Dealer,2 ,2 
173,7,Residential Apartment,Bachupally,Urbanrise Residences,99.51,1353,1914 ,2021-07-16,Dealer,3 ,3 
174,7,Residential Apartment,Kompally,Sri Gajanana Homes,97.17,1500,2370 ,2021-05-21,Builder,3 ,3 
175,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,84.07,1353,1617 ,2021-07-21,Dealer,3 ,0
176,8,Residential Apartment,Mokila,NCD Vivanta Central Court Annex,53.89,1219,1268 ,2021-05-20,Builder,2 ,2 
177,8,Residential Apartment,Alwal,Alpine GMR Springfields,47.03,1120 ,1120 ,2021-08-05,Dealer,2 ,2 
178,8,Residential Apartment,Bachupally,Codename Talk Of Hyderabad,57.14,752 ,752 ,2021-07-09,Builder,2 ,2 
179,8,Residential land / Plot,Rudraram,Pavan Green West,0.0,1350,9000 ,2021-07-09,Dealer,0,0
180,8,Residential Apartment,Mokila,NCD Vivanta Central Court Annex,96.56,1645,2272 ,2021-05-20,Builder,3 ,0
181,8,Residential land / Plot,Meerkhanpet,Vasudaika Cosmo Celesse,59.98,1323,7200 ,2021-07-16,Dealer,0,0
182,8,Residential land / Plot,Shankarpally,Vanabhoomi,99.99,4500,9000 ,2021-07-16,Builder,0,0
183,8,Residential Apartment,Pocharam,Emerald Heights Hyderabad,47.6,1360 ,1360 ,2021-05-31,Builder,3 ,3 
184,8,Residential land / Plot,Sultanpur,Ridge Sunrise city,37.99,1368,4050 ,2021-07-14,Builder,0,0
185,8,Residential Apartment,Narsingi,Hallmark Vicinia,130.0,1686 ,1686 ,2021-07-06,Owner,3 ,2 
186,8,Residential land / Plot,Rudraram,Pavan Green West,0.0,1350,9000 ,2021-06-02,Dealer,0,0
187,8,Residential Apartment,B.N reddy nagar,Sri Kalyan Homes Fortuna,0.0,1560 ,1560 ,2021-06-24,Builder,3 ,0
188,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,99.51,1914,2021 ,2021-07-28,Dealer,4 ,3 
189,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,84.07,1353,1617 ,2021-07-28,Dealer,3 ,0
190,8,Residential land / Plot,Tukkuguda,Bhashyam Premium County,0.0,1080,9000 ,2021-07-20,Dealer,0,0
191,8,Residential land / Plot,Maheshwaram,BVR SV Electronic City,23.37,1503,7740 ,2021-06-15,Dealer,0,0
192,8,Residential Apartment,Isnapur,Shivantha Gardenia,31.32,895 ,895 ,2021-08-07,Dealer,2 ,0
193,8,Residential land / Plot,Thimmapur,Green Home English County,0.0,1620,2943 ,2021-06-21,Builder,0,0
194,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,99.51,1914,2021 ,2021-07-21,Dealer,4 ,3 
195,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,57.14,1099 ,1099 ,2021-07-21,Dealer,2 ,2 
196,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,99.51,1914,2021 ,2021-07-16,Dealer,4 ,3 
197,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,84.07,1353,1617 ,2021-07-16,Dealer,3 ,0
198,8,Residential Apartment,Bachupally,Codename Talk of Hyderabad,57.14,1099 ,1099 ,2021-07-16,Dealer,2 ,2 
199,8,Residential land / Plot,Ibrahimpatnam,Sree Bhuvi Sterling County,49.97,1341,3600 ,2021-08-06,Dealer,0,0
200,9,Residential Apartment,Hyder Nagar,Vertex Pristine,0.0,1475,2030 ,2021-07-26,Builder,3 ,3 
201,9,Residential land / Plot,Tukkuguda,NCS Fortune Medi City,0.0,1323,2223 ,,Dealer,0,0
202,9,Residential Apartment,Saroor nagar,SAI VANDANA,108.0,1500 ,1500 ,2021-03-17,Owner,3 ,3 
203,9,Residential Apartment,Uppal,Vasavi Metropolis,72.9,1350,1945 ,2021-06-01,Builder,3 ,0
204,9,Residential Apartment,Kompally,Shree Krishna Homes,49.59,1100,1240 ,2021-04-20,Builder,2 ,2 
205,9,Residential Apartment,Bollaram,Alpine Infra,45.0,1135 ,1135 ,2021-07-23,Owner,2 ,2 
206,9,Independent House,Mallampet,Praneeth Pranav Leaf,193.0,1650,2200 ,2021-06-11,Builder,3 ,3 
207,9,Residential Apartment,Nizampet,Gokul Bhuvanam,99.0,1650,1805 ,2021-03-04,Builder,3 ,3 
208,9,Residential Apartment,Bachupally,Codename Talk of Hyderabad,57.14,1099 ,1099 ,2021-07-28,Dealer,2 ,2 
209,9,Residential Apartment,Kukatpally,Siri Keerthana's Panchavati apartment,58.0,1150 ,1150 ,2021-08-01,Owner,2 ,3 
210,9,Residential Apartment,Jaibery Colony,Jaibery,85.0,1584 ,1584 ,2021-07-29,Owner,3 ,3 
211,9,Residential Apartment,Isnapur,Shivantha Gardenia,38.31,1095 ,1095 ,2021-08-07,Dealer,2 ,0
212,9,Residential Apartment,Miyapur,Urbanrise Spring is in the Air,49.86,1039 ,1039 ,2021-07-28,Dealer,3 ,0
213,9,Residential Apartment,Bandam Kommu,Aparna Hillpark Silver Oaks,118.0,1670 ,1670 ,2021-07-23,Owner,3 ,3 
214,9,Residential land / Plot,Adibatla,JB Serene City,40.0,200 ,200 ,,Owner,0,0
215,9,Residential Apartment,Nallagandla,Ramky One Galaxia,98.96,1511,1860 ,2021-07-24,Dealer,3 ,3 
216,9,Residential Apartment,Nagaram,Lotus Homes,41.16,1070,1105 ,2021-08-03,Builder,3 ,0
217,9,Residential Apartment,Miyapur,Urbanrise Spring is in the Air,24.86,518 ,518 ,2021-07-28,Dealer,1 ,0
218,9,Residential Apartment,Kollur,Gruhitha Lavender Sky,49.66,1450,2160 ,2021-07-29,Dealer,3 ,0
219,9,Residential land / Plot,Srisailam Highway,Aliens HUB,40.0,3600 ,3600 ,2021-05-21,Builder,0,0
220,9,Residential Apartment,Miyapur,Urbanrise Spring is in the Air,42.22,810,918 ,2021-07-28,Dealer,2 ,0
221,9,Residential Apartment,Financial District,My Home Krishe,184.0,2160 ,2160 ,2021-08-07,Owner,3 ,3 
222,9,Independent House,Kompally,Saket Bhu Sattva,211.0,1833,3144 ,2021-08-05,Builder,3 ,3 
223,9,Residential Apartment,Hi-Tech City,Vishnu Vistara,171.0,2060 ,2060 ,2021-08-04,Owner,3 ,3 
224,9,Residential land / Plot,Srisailam Highway,Silpa Nature Avenue,0.0,1800,3600 ,2021-07-12,Builder,0,0
225,10,Residential Apartment,Malkajgiri,Jyothi vihar,115.0,1750 ,1750 ,2021-07-24,Owner,3 ,3 
226,10,Residential Apartment,Kavadiguda,nul,295.0,2445 ,2445 ,2021-08-06,Owner,3 ,3 
227,10,Residential Apartment,Kollur,Hallmark Vesta,52.23,1266,1306 ,2021-07-26,Builder,2 ,0
228,10,Residential Apartment,Bachupally,Urbanrise Residences,105.0,2021 ,2021 ,2021-08-07,Dealer,4 ,4 
229,10,Residential Apartment,Bachupally,Urbanrise Residences,57.14,1099 ,1099 ,2021-08-07,Dealer,2 ,2 
230,10,Residential Apartment,Bachupally,Urbanrise Residences,70.34,1353 ,1353 ,2021-08-07,Dealer,3 ,3 
231,10,Residential Apartment,Habsiguda,EAPL Sri Tirumala Millennium Phase II,86.4,1350,1800 ,2021-04-20,Builder,3 ,0
232,10,Residential land / Plot,Adibatla,VR Sreenidhi Enclave,0.0,540,1620 ,2021-06-30,Dealer,0,0
233,10,Residential Apartment,Kollur,R Homes Jai Vasavis Orr Height,60.53,1630,2422 ,2021-08-05,Dealer,3 ,0
