,Page_No.,Type_of_property,Place,Property_Name,Price_in_lakhs,Min_Area(sft),Max_Area(sft),Posted_Date,Posted_By,BHK,Baths
2069,83,Independent House,"Sainathapuram, Dr A S Rao Nagar",,275.0,240 ,240 ,2021-07-07,Owner,3 ,3 
2070,83,Residential Apartment,Habeeb Colony,Balapur,52.0,900 ,900 ,2021-07-07,Owner,2 ,2 
2071,83,Independent House,Jawahar nagar,,127.0,1143 ,1143 ,2021-07-07,Owner,3 ,3 
2072,83,Independent House,rayancha,"Rayancha avenue, peerzadiguda",120.0,1980 ,1980 ,2021-07-07,Owner,3 ,4 
2073,83,Residential land / Plot,"JALPALLY, SAROORNAGAR",FRINDES COLONY III,45.0,1350 ,1350 ,2021-07-07,Owner,0,0
2074,83,Residential Apartment,Cine planet,Harmony Park,55.0,1200 ,1200 ,2021-07-06,Owner,2 ,2 
2075,84,Residential Apartment,Near Sri Sitharamma Devi temple,"Sri Nithin Datta Residency, Gajularamaram",50.0,1050 ,1050 ,2021-07-06,Owner,2 ,2 
2076,84,,Tarnaka/ Nacharam,silver springs apartment.,230.0,2475 ,2475 ,2021-07-06,Owner,4 ,3 
2077,84,Independent House,Tirumala Nagar,,265.0,2250 ,2250 ,2021-07-06,Owner,8 ,8 
2078,84,Independent House,Hydershakote,,0.0,1620 ,1620 ,2021-07-06,Owner,2 ,2 
2079,84,Residential Apartment,Hasmatpet,Ss  citizens residency,50.0,5400 ,5400 ,2021-07-05,Owner,2 ,2 
2080,84,Residential Apartment,Amberpet,Udyan Nest,77.0,1025 ,1025 ,2021-07-05,Owner,2 ,2 
2081,84,Residential land / Plot,Rock Hills,,60.0,2700 ,2700 ,2021-07-05,Owner,0,0
2082,84,Residential Apartment,Marredpalli,Maha Vishnu Residency,70.0,1270 ,1270 ,2021-07-05,Owner,2 ,2 
2083,84,Residential Apartment,Geological Survey of India Colony,Indu Aranya Pallavi,65.0,1210 ,1210 ,2021-07-05,Owner,2 ,2 
2084,84,Independent House,"amberpet, hyderabad",,170.0,1699 ,1699 ,2021-07-05,Owner,1 ,0
2085,84,Independent House,Meerpet,,0.0,1800 ,1800 ,2021-07-20,Owner,0 ,0 
2086,84,Residential Apartment,Pragati Nagar,Aadhya Crystal,60.0,1040 ,1040 ,2021-07-05,Owner,2 ,2 
2087,84,Residential land / Plot,15th Phase KPHB,,250.0,1746 ,1746 ,2021-07-05,Owner,0,0
2088,84,Independent House,teja colony, isnapur,98.0,125 ,125 ,2021-07-05,Owner,4 ,5 
2089,84,Residential Apartment,"Pipeline Road, Jeedimetla",Z R IVORY TOWERS ,85.0,1610 ,1610 ,2021-07-05,Owner,2 ,2 
2090,84,Residential Apartment,Appa Junction,Indis PBEL City,140.0,1940 ,1940 ,2021-07-05,Owner,3 ,3 
2091,84,Independent House,Shivarampally,,160.0,1800 ,1800 ,2021-07-05,Owner,5 ,5 
2092,84,Independent House,Bank Colony-Kapra,,150.0,2200 ,2200 ,2021-07-04,Owner,3 ,3 
2093,84,,Indresham,,0.0,1076 ,1076 ,2021-07-04,Owner,0,0
2094,84,Residential Apartment,suncity banlaguda bavani colony,suncity banlaguda bavani colony,130.0,1350 ,1350 ,2021-07-04,Owner,2 ,2 
2095,84,Residential Apartment,"RAMA KRISHNA NAGAR, MADINAGUDA",N.S.K BLISS MEADOWS,75.0,1210 ,1210 ,2021-07-04,Owner,2 ,2 
2096,84,Residential Apartment,Dwarakapuri,Dwaraka Avenue Apartment,70.0,850 ,850 ,2021-07-04,Owner,2 ,2 
2097,84,Residential land / Plot,Yadagirigutta,Yadadri Vihar,22.0,2385 ,2385 ,2021-07-04,Owner,0,0
2098,84,Residential Apartment,Sriram Nagar,ZR Ivory Towers,85.0,1635 ,1635 ,2021-07-04,Owner,2 ,2 
2099,84,Independent House,VIJAYAPURI PHASE 2 VANASTALIPURAM,,150.0,1350 ,1350 ,2021-07-03,Owner,5 ,5 
2100,85,Residential Apartment,Uppal Bhagayath HMDA,uppal merto station,99.0,1740 ,1740 ,2021-07-02,Owner,3 ,3 
2101,85,Residential Apartment,Sitaram Nagar,Sitar am Nagar,60.0,1350 ,1350 ,2021-07-02,Owner,2 ,2 
2102,85,Independent House,khairatabad,,320.0,1170 ,1170 ,2021-07-02,Owner,2 ,0 
2103,85,,Attapur Ring Road,,175.0,1800 ,1800 ,2021-07-02,Owner,4 ,4 
2104,85,Residential Apartment,Near Patelkunta park,"VEERA PLAZA,Jashuva society",80.0,1400 ,1400 ,2021-07-02,Owner,3 ,3 
2105,85,Residential Apartment,Rajendra Nagar,Provident Kenworth,66.0,928 ,928 ,2021-07-02,Owner,2 ,2 
2106,85,Residential Apartment,Hi-Tech City,Opus Ascend,175.0,2150 ,2150 ,2021-07-02,Owner,3 ,3 
2107,85,Independent House,Boudhanagar Colony,,245.0,2457 ,2457 ,2021-07-01,Owner,4 ,4 
2108,85,Residential land / Plot,Shad nagar,,22.55,1352 ,1352 ,2021-07-01,Owner,0,0
2109,85,Residential land / Plot,Rich Field,,14.0,1800 ,1800 ,2021-07-01,Owner,0,0
2110,85,Residential land / Plot,Adibatla,,120.0,387 ,387 ,2021-07-01,Owner,0,0
2111,85,Residential land / Plot,Shad nagar,,20.0,4355 ,4355 ,2021-07-01,Owner,0,0
2112,85,Residential land / Plot,Afzal Nagar,,132.0,1649 ,1649 ,2021-06-30,Owner,0,0
2113,85,Residential Apartment,OU Colony,Mumtaz Towers,75.0,1100 ,1100 ,2021-06-30,Owner,2 ,2 
2114,85,Residential land / Plot,Patancheru,,210.0,2700 ,2700 ,2021-06-30,Owner,0,0
2115,85,Residential land / Plot,Cherukupally,,66.0,1701 ,1701 ,2021-06-30,Owner,0,0
2116,85,Independent House,Amberpet,,80.0,900 ,900 ,2021-06-30,Owner,4 ,4 
2117,85,Residential land / Plot,Kottur,Airport Valley,13.0,1800 ,1800 ,2021-06-30,Owner,0,0
2118,85,Residential land / Plot,information colony,,84.18,2196 ,2196 ,2021-06-30,Owner,0,0
2119,85,Residential land / Plot,Nawab Saheb Kunta,plot nawa,55.0,900 ,900 ,2021-07-03,Owner,0,0
2120,85,Residential Apartment,Happy Homes Colony,Fm Towers,73.0,1400 ,1400 ,2021-06-30,Owner,3 ,2 
2121,85,,Chandanagar,,86.0,1525 ,1525 ,2021-06-30,Owner,3 ,3 
2122,85,Residential land / Plot,chandrayangutta,,78.0,1395 ,1395 ,2021-06-30,Owner,0,0
2123,85,Residential land / Plot,Ranga Reddy,,44.0,1332 ,1332 ,2021-06-30,Owner,0,0
2124,85,Residential land / Plot,Pochampally,Padmashri Townships PST,72.0,5400 ,5400 ,2021-06-30,Owner,0,0
2125,86,Residential land / Plot,Yacharam,YACHARAM,20.0,200 ,200 ,2021-06-30,Owner,0,0
2126,86,Residential Apartment,Gowlidoddy,VENKATSAI TIRUMALA,90.0,1560 ,1560 ,2021-06-29,Owner,3 ,3 
2127,86,Residential Apartment,Diamond Hills,NCC Urban Nagarjuna Residency,250.0,2430 ,2430 ,2021-06-29,Owner,3 ,3 
2128,86,Independent House,Karmika Nagar,,250.0,1080 ,1080 ,2021-06-29,Owner,2 ,2 
2129,86,Residential land / Plot,Adibatla,Sri Sri Gruhanirman Aero Lights,72.0,2160 ,2160 ,2021-06-29,Owner,0,0
2130,86,Residential land / Plot,Shad nagar,,20.0,4356 ,4356 ,2021-06-28,Owner,0,0
2131,86,Residential land / Plot,lalbazar,lalbazar,115.0,1488 ,1488 ,2021-06-28,Owner,0,0
2132,86,Residential land / Plot,Yellamaduda,,70.0,43560 ,43560 ,2021-06-28,Owner,0,0
2133,86,Residential Apartment,Pragathi Nagar JNTU,Vaishnavi perfect towers,52.0,1165 ,1165 ,2021-06-28,Owner,2 ,2 
2134,86,Independent House,Aliabad,,105.0,1100 ,1100 ,2021-06-28,Owner,4 ,4 
2135,86,Residential Apartment,Banjarahills,Hill crest apartment banjarahills,0.0,2800 ,2800 ,2021-06-28,Owner,3 ,3 
2136,86,Residential land / Plot,Yacharam,,11.5,1602 ,1602 ,2021-06-28,Owner,0,0
2137,86,Residential land / Plot,Kothur,Incredible India Sparrow Shore Avenue,16.0,1102 ,1102 ,2021-06-28,Owner,0,0
2138,86,Independent House,Near gvr swimmingpool,Samanagar,145.0,140 ,140 ,2021-06-28,Owner,4 ,4 
2139,86,Residential land / Plot,Ibrahimpatnam,Residential Plot,60.0,2700 ,2700 ,2021-06-28,Owner,0,0
2140,86,Residential Apartment,Auto Nagar,Swastika Signature,45.0,1410 ,1410 ,2021-06-28,Owner,3 ,3 
2141,86,Residential Apartment,Saidabad,Annapurna Arcade,130.0,1745 ,1745 ,2021-06-28,Owner,3 ,3 
2142,86,Residential land / Plot,yadgarpally keesara,orr lakshmi homes,50.16,1881 ,1881 ,2021-06-28,Owner,0,0
2143,86,Residential Apartment,Rajendra Nagar,Provident Kenworth,46.0,634 ,634 ,2021-06-27,Owner,1 ,0
2144,86,,alair,residential plot,17.0,1800 ,1800 ,2021-06-27,Owner,0,0
2145,86,Residential Apartment,Maheshwaram,Gangothri Emerald Heights,48.0,1360 ,1360 ,2021-06-27,Owner,3 ,3 
2146,86,Residential Apartment,Musheerabad,"Friendscolony,Zamistanpur",150.0,540 ,540 ,2021-06-27,Owner,2 ,2 
2147,86,Residential land / Plot,Srisailam Highway,Elite City,25.0,240 ,240 ,2021-06-27,Owner,0,0
2148,86,Residential Apartment,"padma nagar, phase 2, chinttal",sri harsha residency,42.5,900 ,900 ,2021-06-27,Owner,2 ,2 
2149,86,Residential land / Plot,narayankhed,,7.5,10890 ,10890 ,2021-06-26,Owner,0,0
2150,87,Independent House,serilingampalli,3 floor independent house.,250.0,1593 ,1593 ,2021-06-26,Owner,8 ,8 
