,Property_Name,Property_Type,Area_in_Sft,Price,Page_No.,bhk,Posted_On
0,,Residential land / Plot in Medchal,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 25,000₹ 14/sq.ft.",1,,"Posted on 19th Jul, 2021 by RERA Registered Dealer"
1,,Residential land / Plot in Maheshwaram,"1,800 sq.ft. (167 sq.m.) Plot Area","₹ 22 Lac₹ 1,222/sq.ft.",1,,"Posted on 12th Jul, 2021 by RERA Registered Dealer"
2,Signature Fortius,2 BHK Residential Apartment in Patancheru,"1,210 sq.ft. (112 sq.m.) Super built-up Area","₹ 45 Lac₹ 3,719/sq.ft.",1,2 BHK,"Posted on 08th Jul, 2021 by Builder"
3,Krushi Madhava Nest,4 Bedroom Independent House in Patancheru,"2,280-2,316 sq.ft. (212-215 sq.m.) Built-up Area",₹ 1.37  - 1.44 Cr,1,4 BHK,"Posted on 03rd Aug, 2021 by Builder"
4,Ananda Homes The Ozone Heights,3 BHK Residential Apartment in Tellapur,"2,205-2,435 sq.ft. (205-226 sq.m.) Super built-up Area","₹ 1.15  - 1.27 Cr₹ 5,200/sq.ft.",1,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Builder"
5,Vessella Woods,4 Bedroom Independent House in Kondapur,"3,584-4,259 sq.ft. (333-396 sq.m.) Built-up Area","₹ 5.73  - 7.05 Cr₹ 16,444/sq.ft.",1,4 BHK6 Baths,"Posted on 02nd Jul, 2021 by Builder"
6,Sreenidhi Luxury Park II,4 Bedroom Independent House in Shamshabad,"3,338-3,844 sq.ft. (310-357 sq.m.) Built-up Area",₹ 2  - 2.31 Cr,1,4 BHK,"Posted on 25th Jun, 2021 by Builder"
7,Aditya Athena,3 BHK Residential Apartment in Shaikpet,"1,715-2,435 sq.ft. (159-226 sq.m.) Super built-up Area","₹ 1.23  - 1.74 Cr₹ 7,150/sq.ft.",1,3 BHK3 Baths,"Posted on 04th Mar, 2021 by Builder"
8,GHR Titania,3 BHK Residential Apartment in Kondapur,"1,686-2,509 sq.ft. (157-233 sq.m.) Super built-up Area","₹ 1.06  - 1.58 Cr₹ 6,299/sq.ft.",1,3 BHK3 Baths,"Posted on 09th Jul, 2021 by Builder"
9,Signature Altius,2 BHK Residential Apartment in Kollur,"1,420 sq.ft. (132 sq.m.) Super built-up Area",₹ 63.9 Lac,1,2 BHK,"Posted on 16th Jul, 2021 by Builder"
10,Signature Altius,3 BHK Residential Apartment in Kollur,"1,550-2,425 sq.ft. (144-225 sq.m.) Super built-up Area",₹ 69.75 Lac - 1.09 Cr,1,3 BHK3 Baths,"Posted on 16th Jul, 2021 by Builder"
11,Vashnavis Tarak Residency,3 BHK Residential Apartment in Rajendra Nagar,"1,260-1,320 sq.ft. (117-123 sq.m.) Super built-up Area",₹ 50.4  - 52.8 Lac,1,3 BHK3 Baths,Posted on Yesterday by Builder
12,APR Praveens Crystal Avenue,4 Bedroom Independent House in Vanasthalipuram,"2,190-2,865 sq.ft. (203-266 sq.m.) Built-up Area","₹ 1.51  - 1.98 Cr₹ 6,900/sq.ft.",1,4 BHK4 Baths,"Posted on 05th Jul, 2021 by Builder"
13,Aparna Kanopy Yellow Bells,3 BHK Residential Apartment in Gundlapochampalli,"1,536-1,911 sq.ft. (143-178 sq.m.) Super built-up Area",Price on Request,1,3 BHK,Posted on Today by Builder
14,Aparna Kanopy Yellow Bells,2 BHK Residential Apartment in Gundlapochampalli,"1,294-1,361 sq.ft. (120-126 sq.m.) Super built-up Area",Price on Request,1,2 BHK,Posted on Today by Builder
15,My Fortune Pride,5 BHK Residential Apartment in Himayat Nagar,"2,850-3,590 sq.ft. (265-334 sq.m.) Built-up Area",Price on Request,1,5 BHK5 Baths,"Posted on 06th Aug, 2021 by Builder"
16,Rainbow Vistas at Rock Garden,4 BHK Residential Apartment in Hi-Tech City,"3,000 sq.ft. (279 sq.m.) Super built-up Area","₹ 2.22 Cr₹ 7,399/sq.ft.",1,4 BHK4 Baths,"Posted on 19th May, 2021 by Builder"
17,Om Sree Brilliance,3 BHK Residential Apartment in Dr A.S Rao Nagar,"2,130-2,200 sq.ft. (198-204 sq.m.) Super built-up Area",₹ 1.16  - 1.19 Cr,1,3 BHK,"Posted on 22nd Jun, 2021 by Builder"
18,GKs Majestic,3 BHK Residential Apartment in Sainikpuri,"1,695-2,266 sq.ft. (157-211 sq.m.) Super built-up Area",₹ 80.56 Lac - 1.08 Cr,1,3 BHK,Posted on Today by Builder
19,Nestcons Chintala Residency,3 BHK Residential Apartment in Alwal,"1,393-1,589 sq.ft. (129-148 sq.m.) Super built-up Area","₹ 68.95  - 78.66 Lac₹ 4,950/sq.ft.",1,3 BHK3 Baths,"Posted on 08th Jul, 2021 by Builder"
20,Nestcons Chintala Residency,2 BHK Residential Apartment in Alwal,"1,107-1,226 sq.ft. (103-114 sq.m.) Super built-up Area","₹ 54.8  - 60.69 Lac₹ 4,950/sq.ft.",1,2 BHK2 Baths,"Posted on 08th Jul, 2021 by Builder"
21,My Fortune Pride,3 BHK Residential Apartment in Himayat Nagar,"1,425-2,205 sq.ft. (132-205 sq.m.) Built-up Area",Price on Request,1,3 BHK3 Baths,"Posted on 06th Aug, 2021 by Builder"
22,Anuhar Rami Reddy Towers,3 BHK Residential Apartment in Manikonda,"1,615-2,810 sq.ft. (150-261 sq.m.) Super built-up Area","₹ 92.04 Lac - 1.6 Cr₹ 5,699/sq.ft.",1,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Builder"
23,Anuhar Rami Reddy Towers,2 BHK Residential Apartment in Manikonda,"1,281-1,447 sq.ft. (119-134 sq.m.) Super built-up Area","₹ 73  - 82.46 Lac₹ 5,699/sq.ft.",1,2 BHK2 Baths,"Posted on 07th Aug, 2021 by Builder"
24,Praneeth Pranav Flora,3 BHK Residential Apartment in Bahadurpally,"1,500 sq.ft. (139 sq.m.) Super built-up Area",₹ 62.99 Lac,1,3 BHK3 Baths,"Posted on 11th Jun, 2021 by Builder"
25,Vinayaka Kohinur City,Residential land / Plot in Rudraram,"1,350-1,980 sq.ft. (125-184 sq.m.) Plot Area",₹ 24.75  - 36.29 Lac,2,,"Posted on 11th Jun, 2021 by Dealer"
26,Fortune Mayura,3 BHK Residential Apartment in Bachupally,"1,450-1,560 sq.ft. (135-145 sq.m.) Built-up Area","₹ 81.2  - 87.36 Lac₹ 5,600/sq.ft.",2,3 BHK3 Baths,"Posted on 27th Jul, 2021 by Builder"
27,APR Mukkas Praveens Signator,4 Bedroom Independent House in Mallampet,"2,180-2,985 sq.ft. (203-277 sq.m.) Built-up Area","₹ 1.42  - 1.95 Cr₹ 6,517/sq.ft.",2,4 BHK4 Baths,"Posted on 05th Jul, 2021 by Builder"
28,Namishree Twin Towers BPS,2 BHK Residential Apartment in LB Nagar,"1,285 sq.ft. (119 sq.m.) Super built-up Area",₹ 71.83 Lac,2,2 BHK,"Posted on 27th Jun, 2021 by Builder"
29,Rainbow Vistas at Rock Garden,3 BHK Residential Apartment in Hi-Tech City,"2,000-2,795 sq.ft. (186-260 sq.m.) Super built-up Area","₹ 1.48  - 2.07 Cr₹ 7,399/sq.ft.",2,3 BHK,"Posted on 19th May, 2021 by Builder"
30,SMR Vinay Casa Carino,4 Bedroom Independent House in Bandlaguda,"4,310-5,116 sq.ft. (400-475 sq.m.) Built-up Area","₹ 6.47  - 7.67 Cr₹ 15,000/sq.ft.",2,4 BHK7 Baths,"Posted on 03rd Aug, 2021 by Builder"
31,Namishree Twin Towers BPS,3 BHK Residential Apartment in LB Nagar,"1,612-1,800 sq.ft. (150-167 sq.m.) Super built-up Area",₹ 90.11 Lac - 1.01 Cr,2,3 BHK,"Posted on 27th Jun, 2021 by Builder"
32,GK Festoon,2 BHK Residential Apartment in Sainikpuri,"1,345 sq.ft. (125 sq.m.) Super built-up Area",₹ 69.94 Lac,2,2 BHK,"Posted on 23rd Jul, 2021 by Builder"
33,Praneeth Pranav Flora,2 BHK Residential Apartment in Bahadurpally,"1,153-1,352 sq.ft. (107-126 sq.m.) Super built-up Area",₹ 48.41  - 56.77 Lac,2,2 BHK2 Baths,"Posted on 11th Jun, 2021 by Builder"
34,Hallmark Sunnyside,2 BHK Residential Apartment in Narsingi,"1,210-1,290 sq.ft. (112-120 sq.m.) Super built-up Area",₹ 71.38  - 76.1 Lac,2,2 BHK2 Baths,"Posted on 05th Jul, 2021 by Builder"
35,Aspire Spaces Ameya,2 BHK Residential Apartment in Miyapur,"1,210-1,330 sq.ft. (112-124 sq.m.) Super built-up Area",₹ 54.45  - 59.85 Lac,2,2 BHK2 Baths,"Posted on 03rd Aug, 2021 by Builder"
36,Aparna Sarovar Zicon,4 BHK Residential Apartment in Nallagandla,"1,529-2,875 sq.ft. (142-267 sq.m.) Super built-up Area",₹ 1.07  - 2.01 Cr,2,4 BHK,"Posted on 24th Jul, 2021 by Builder"
37,Maram Garlapati Homes,2 BHK Residential Apartment in Adibatla,"1,068-1,338 sq.ft. (99-124 sq.m.) Super built-up Area","₹ 42.76  - 53.56 Lac₹ 4,000/sq.ft.",2,2 BHK2 Baths,"Posted on 02nd Apr, 2021 by Builder"
38,Praneeths Jaagruthi Elite,3 BHK Residential Apartment in Kollur,"1,617-1,683 sq.ft. (150-156 sq.m.) Super built-up Area","₹ 75.98  - 79.08 Lac₹ 4,699/sq.ft.",2,3 BHK3 Baths,"Posted on 11th Jun, 2021 by Builder"
39,Relcon Marvel Apartments,3 BHK Residential Apartment in Trimulgherry,"2,055-2,060 sq.ft. (191-191 sq.m.) Super built-up Area","₹ 1.27  - 1.28 Cr₹ 6,200/sq.ft.",2,3 BHK3 Baths,"Posted on 26th Jun, 2021 by Builder"
40,Om Sree Heights,3 BHK Residential Apartment in Yapral,"2,225-2,950 sq.ft. (207-274 sq.m.) Super built-up Area",₹ 1.2  - 1.59 Cr,2,3 BHK,"Posted on 07th Jun, 2021 by Builder"
41,Fortune Mayura,2 BHK Residential Apartment in Bachupally,"1,193 sq.ft. (111 sq.m.) Built-up Area","₹ 66.81 Lac₹ 5,600/sq.ft.",2,2 BHK2 Baths,"Posted on 08th Jul, 2021 by Builder"
42,Hallmark Skyrena,3 BHK Residential Apartment in Narsingi,"1,635-2,255 sq.ft. (152-210 sq.m.) Super built-up Area",₹ 99.72 Lac - 1.38 Cr,2,3 BHK,"Posted on 06th Jul, 2021 by Builder"
43,GK S Zenith,2 BHK Residential Apartment in Sainikpuri,"1,180-1,220 sq.ft. (110-113 sq.m.) Super built-up Area",₹ 61.36  - 63.44 Lac,2,2 BHK,"Posted on 19th Apr, 2021 by Builder"
44,Hallmark Sunnyside,3 BHK Residential Apartment in Narsingi,"1,528-2,228 sq.ft. (142-207 sq.m.) Super built-up Area",₹ 90.14 Lac - 1.31 Cr,2,3 BHK3 Baths,"Posted on 05th Jul, 2021 by Builder"
45,Meenazi Elite,3 BHK Residential Apartment in Kismathpur,"1,585-1,915 sq.ft. (147-178 sq.m.) Super built-up Area","₹ 74.5  - 90 Lac₹ 4,700/sq.ft.",2,3 BHK3 Baths,"Posted on 06th Apr, 2021 by Builder"
46,Aparna Serenity,4 BHK Residential Apartment in Kompally,"2,630-2,730 sq.ft. (244-254 sq.m.) Super built-up Area",Price on Request,2,4 BHK,"Posted on 24th Jul, 2021 by Builder"
47,Aditya Beaumont,3 BHK Residential Apartment in Jubilee Hills,"1,700-2,100 sq.ft. (158-195 sq.m.) Built-up Area","₹ 1.31  - 1.62 Cr₹ 7,700/sq.ft.",2,3 BHK3 Baths,"Posted on 18th Jun, 2021 by Builder"
48,Aparna Serenity,3 BHK Residential Apartment in Kompally,"1,465-2,230 sq.ft. (136-207 sq.m.) Super built-up Area",₹ 87.89 Lac - 1.34 Cr,2,3 BHK,"Posted on 24th Jul, 2021 by Builder"
49,Nest Makers Bliss In The Woods,5 Bedroom Independent House in Tukkuguda,"6,500-9,000 sq.ft. (604-836 sq.m.) Built-up Area","₹ 4.25  - 7.7 Cr₹ 7,546/sq.ft.",2,5 BHK5 Baths,"Posted on 21st Apr, 2021 by Builder"
50,Alekhya Bamboo Grove,3 BHK Residential Apartment in Kondapur,"1,665 sq.ft. (155 sq.m.) Super built-up Area","₹ 1.04 Cr₹ 6,250/sq.ft.",3,3 BHK3 Baths,"Posted on 26th Jul, 2021 by Builder"
51,Aparna Serenity,2 BHK Residential Apartment in Kompally,"1,335 sq.ft. (124 sq.m.) Super built-up Area",Price on Request,3,2 BHK2 Baths,"Posted on 24th Jul, 2021 by Builder"
52,GHR Titania,2 BHK Residential Apartment in Kondapur,"1,270-1,284 sq.ft. (118-119 sq.m.) Super built-up Area",Price on Request,3,2 BHK2 Baths,"Posted on 09th Jul, 2021 by Builder"
53,Manbhum Home Tree,2 BHK Residential Apartment in Kompally,"1,198-1,325 sq.ft. (111-123 sq.m.) Super built-up Area",₹ 62.3  - 68.9 Lac,3,2 BHK2 Baths,"Posted on 04th Jun, 2021 by Builder"
54,Aparna Sarovar Zicon,2 BHK Residential Apartment in Nallagandla,"1,215-1,909 sq.ft. (113-177 sq.m.) Super built-up Area",Price on Request,3,2 BHK,"Posted on 24th Jul, 2021 by Builder"
55,Gowra Urbanwinds,4 BHK Residential Apartment in Kismathpur,"1,760-1,775 sq.ft. (164-165 sq.m.) Super built-up Area","₹ 91.52  - 92.3 Lac₹ 5,200/sq.ft.",3,4 BHK,"Posted on 18th Jun, 2021 by Builder"
56,Jains Balaji Nilayam Casa Waterside,4 BHK Residential Apartment in Malkajgiri,"2,630-2,635 sq.ft. (244-245 sq.m.) Super built-up Area",₹ 1.58  - 1.58 Cr,3,4 BHK4 Baths,"Posted on 06th Apr, 2021 by Builder"
57,Gowra Urbanwinds,3 BHK Residential Apartment in Kismathpur,"1,340-1,625 sq.ft. (124-151 sq.m.) Super built-up Area","₹ 69.68  - 84.5 Lac₹ 5,200/sq.ft.",3,3 BHK,"Posted on 18th Jun, 2021 by Builder"
58,Aparna Sarovar Zicon,3 BHK Residential Apartment in Nallagandla,"1,309-2,575 sq.ft. (122-239 sq.m.) Super built-up Area",Price on Request,3,3 BHK,"Posted on 24th Jul, 2021 by Builder"
59,Nest Makers Bliss In The Woods,4 Bedroom Independent House in Tukkuguda,"4,750-5,250 sq.ft. (441-488 sq.m.) Built-up Area","₹ 2.62  - 3.83 Cr₹ 6,405/sq.ft.",3,4 BHK,"Posted on 21st Apr, 2021 by Builder"
60,Maram Garlapati Homes,3 BHK Residential Apartment in Adibatla,"1,338-1,973 sq.ft. (124-183 sq.m.) Super built-up Area","₹ 53.52  - 78.96 Lac₹ 3,999/sq.ft.",3,3 BHK3 Baths,"Posted on 02nd Apr, 2021 by Builder"
61,Manbhum Home Tree,3 BHK Residential Apartment in Kompally,"1,406-1,771 sq.ft. (131-165 sq.m.) Super built-up Area",₹ 73.11  - 92.09 Lac,3,3 BHK3 Baths,"Posted on 04th Jun, 2021 by Builder"
62,Victori Amaze Sree Valley,Residential land / Plot in Maheshwaram,"1,800-3,636 sq.ft. (167-338 sq.m.) Plot Area",Price on Request,3,,"Posted on 03rd Aug, 2021 by Builder"
63,Maruthi Elite,2 BHK Residential Apartment in Nizampet,"1,265-1,435 sq.ft. (118-133 sq.m.) Built-up Area","₹ 65.78  - 74.62 Lac₹ 5,200/sq.ft.",3,2 BHK2 Baths,"Posted on 01st Jul, 2021 by Builder"
64,GK S Zenith,3 BHK Residential Apartment in Sainikpuri,"1,460-1,910 sq.ft. (136-177 sq.m.) Super built-up Area",₹ 75.92  - 99.32 Lac,3,3 BHK,"Posted on 19th Apr, 2021 by Builder"
65,Modi Greenwood Heights,3 BHK Residential Apartment in Sainikpuri,"1,715-1,945 sq.ft. (159-181 sq.m.) Super built-up Area","₹ 72.01  - 81.67 Lac₹ 4,199/sq.ft.",3,3 BHK3 Baths,"Posted on 02nd Jun, 2021 by Builder"
66,Om Sree Heights,2 BHK Residential Apartment in Yapral,"1,485 sq.ft. (138 sq.m.) Super built-up Area",Price on Request,3,2 BHK,"Posted on 29th Jun, 2021 by Builder"
67,Jains Balaji Nilayam Casa Waterside,2 BHK Residential Apartment in Malkajgiri,"1,330 sq.ft. (124 sq.m.) Super built-up Area",₹ 79.79 Lac,3,2 BHK2 Baths,"Posted on 06th Apr, 2021 by Builder"
68,Jains Balaji Nilayam Casa Waterside,3 BHK Residential Apartment in Malkajgiri,"1,655-2,245 sq.ft. (154-209 sq.m.) Super built-up Area",₹ 99.28 Lac - 1.35 Cr,3,3 BHK3 Baths,"Posted on 06th Apr, 2021 by Builder"
69,GKs Silver Leaf,2 BHK Residential Apartment in Sainikpuri,"1,138-1,185 sq.ft. (106-110 sq.m.) Super built-up Area",₹ 56.9  - 59.25 Lac,3,2 BHK,Posted on Today by Builder
70,GKs Silver Leaf,3 BHK Residential Apartment in Sainikpuri,"1,637 sq.ft. (152 sq.m.) Super built-up Area",₹ 81.9 Lac,3,3 BHK,Posted on Today by Builder
71,Praneeth Pranav Townsquare,3 BHK Residential Apartment in Bachupally,"1,494-1,554 sq.ft. (139-144 sq.m.) Super built-up Area","₹ 88  - 92 Lac₹ 5,905/sq.ft.",3,3 BHK3 Baths,"Posted on 11th Jun, 2021 by Builder"
72,Aspire Spaces Ameya,3 BHK Residential Apartment in Miyapur,"1,495-1,940 sq.ft. (139-180 sq.m.) Super built-up Area",₹ 67.28  - 87.3 Lac,3,3 BHK3 Baths,"Posted on 03rd Aug, 2021 by Builder"
73,Navee Aushu Homes,Residential land / Plot in Rudraram,"1,350-3,600 sq.ft. (125-334 sq.m.) Plot Area",₹ 27  - 72 Lac,3,,Posted on Yesterday by Builder
74,Palm Greens,Residential land / Plot in Shad nagar,"1,350-9,000 sq.ft. (125-836 sq.m.) Plot Area",₹ 20.99 Lac - 1.4 Cr,3,,"Posted on 27th Jul, 2021 by Builder"
75,Aakriti Cyan,2 BHK Residential Apartment in Tellapur,"1,265-1,431 sq.ft. (118-133 sq.m.) Super built-up Area",₹ 67.03  - 75.83 Lac,4,2 BHK,"Posted on 31st Jul, 2021 by Builder"
76,Aparna One,4 BHK Residential Apartment in Shaikpet,"4,155-5,216 sq.ft. (386-485 sq.m.) Super built-up Area",Price on Request,4,4 BHK5 Baths,"Posted on 12th Apr, 2021 by Builder"
77,Shangrila Villas,3 Bedroom Independent House in Kompally,"2,700 sq.ft. (251 sq.m.) Built-up Area","₹ 1.89 Cr₹ 7,000/sq.ft.",4,3 BHK,"Posted on 08th Jun, 2021 by Builder"
78,Sree Bhuvi Sterling County,Residential land / Plot in Ibrahimpatnam,"1,250-13,103 sq.ft. (116-1217 sq.m.) Plot Area",₹ 17.36 Lac - 1.82 Cr,4,,"Posted on 07th Aug, 2021 by Dealer"
79,Prajay Treetops,3 Bedroom Independent House in Shamirpet,"2,938-3,730 sq.ft. (273-347 sq.m.) Built-up Area","₹ 1.58  - 2.01 Cr₹ 5,378/sq.ft.",4,3 BHK,Posted on Today by Builder
80,Salarpuria Sattva Necklace Pride,2 BHK Residential Apartment in Kavadiguda,"1,342 sq.ft. (125 sq.m.) Super built-up Area",₹ 1.22 Cr,4,2 BHK2 Baths,"Posted on 09th Jul, 2021 by Builder"
81,Pacifica Hillcrest,3 BHK Residential Apartment in Gachibowli,"1,199-1,215 sq.ft. (111-113 sq.m.) Carpet Area",₹ 82.73 Lac Onwards,4,3 BHK3 Baths,"Posted on 02nd Aug, 2021 by Builder"
82,Salarpuria Sattva Necklace Pride,3 BHK Residential Apartment in Kavadiguda,"2,432-2,755 sq.ft. (226-256 sq.m.) Super built-up Area",₹ 2.36 Cr Onwards,4,3 BHK,"Posted on 09th Jul, 2021 by Builder"
83,Aakriti Cyan,3 BHK Residential Apartment in Tellapur,"1,315-1,723 sq.ft. (122-160 sq.m.) Super built-up Area",₹ 69.68  - 91.3 Lac,4,3 BHK,"Posted on 31st Jul, 2021 by Builder"
84,SNR Sri Sri Kala Kuteers Gold,3 BHK Residential Apartment in LB Nagar,"1,485-1,810 sq.ft. (138-168 sq.m.) Super built-up Area",₹ 92.07 Lac - 1.12 Cr,4,3 BHK3 Baths,"Posted on 05th Apr, 2021 by Builder"
85,Keerthi Shantha Residency,2 BHK Residential Apartment in Dullapally,"945-1,325 sq.ft. (88-123 sq.m.) Super built-up Area",₹ 35.91  - 50.35 Lac,4,2 BHK,"Posted on 03rd Jun, 2021 by Dealer"
86,SNR Sri Sri Kala Kuteers Gold,2 BHK Residential Apartment in LB Nagar,"1,250-1,350 sq.ft. (116-125 sq.m.) Super built-up Area",₹ 77.5  - 83.7 Lac,4,2 BHK2 Baths,"Posted on 05th Apr, 2021 by Builder"
87,Codename Talk of Hyderabad,2 BHK Residential Apartment in Bachupally,"1,099 sq.ft. (102 sq.m.) Super built-up Area",₹ 57.15 Lac,4,2 BHK2 Baths,"Posted on 17th Jul, 2021 by Dealer"
88,Codename Talk of Hyderabad,4 BHK Residential Apartment in Bachupally,"1,914-2,021 sq.ft. (178-188 sq.m.) Super built-up Area",₹ 99.53 Lac - 1.05 Cr,4,4 BHK3 Baths,"Posted on 17th Jul, 2021 by Dealer"
89,Codename Talk of Hyderabad,3 BHK Residential Apartment in Bachupally,"1,353-1,617 sq.ft. (126-150 sq.m.) Super built-up Area",₹ 70.36  - 84.08 Lac,4,3 BHK,"Posted on 17th Jul, 2021 by Dealer"
90,Abhyudayanagar Colony,16 Bedroom Independent House in Chintalkunta,"2,700 sq.ft. (251 sq.m.) Plot Area",₹ 6 Cr₹ 752/sq.ft.,4,16 BHK19 Baths,Posted on Today by Owner
91,Manisha Dharam Vatika,3 BHK Residential Apartment in Masab Tank,"1,724 sq.ft. (160 sq.m.) Super built-up Area",Price on Request,4,3 BHK3 Baths,"Posted on 07th Aug, 2021 by Builder"
92,Ark Homes,3 BHK Residential Apartment in Bolarum,"1,365-1,510 sq.ft. (127-140 sq.m.) Super built-up Area","₹ 62.79  - 69.46 Lac₹ 4,600/sq.ft.",4,3 BHK,"Posted on 17th Jun, 2021 by Builder"
93,Pacifica Hillcrest,4 BHK Residential Apartment in Gachibowli,"1,670-1,699 sq.ft. (155-158 sq.m.) Carpet Area",₹ 1.15 Cr Onwards,4,4 BHK4 Baths,"Posted on 02nd Aug, 2021 by Builder"
94,Ira Miracle,3 BHK Residential Apartment in Kollur,"1,655-2,455 sq.ft. (154-228 sq.m.) Super built-up Area",₹ 82.73 Lac - 1.23 Cr,4,3 BHK3 Baths,"Posted on 12th Jul, 2021 by Dealer"
95,Meenazi Elite,2 BHK Residential Apartment in Kismathpur,"1,110-1,310 sq.ft. (103-122 sq.m.) Super built-up Area","₹ 52.17  - 61.57 Lac₹ 4,700/sq.ft.",4,2 BHK2 Baths,"Posted on 06th Apr, 2021 by Builder"
96,Pacifica Hillcrest,2 BHK Residential Apartment in Gachibowli,787-940 sq.ft. (73-87 sq.m.) Carpet Area,₹ 54.3 Lac Onwards,4,2 BHK2 Baths,"Posted on 02nd Aug, 2021 by Builder"
97,Urbanrise Residences,2 BHK Residential Apartment in Bachupally,752 sq.ft. (70 sq.m.) Carpet Area,₹ 40.61 Lac,4,2 BHK2 Baths,"Posted on 15th Jul, 2021 by Builder"
98,Provident Kenworth,3 BHK Residential Apartment in Rajendra Nagar,"1,047-1,346 sq.ft. (97-125 sq.m.) Super built-up Area","₹ 72.59  - 89 Lac₹ 6,498/sq.ft.",4,3 BHK3 Baths,"Posted on 05th Jun, 2021 by Builder"
99,Ark Homes,2 BHK Residential Apartment in Bolarum,"1,075-1,140 sq.ft. (100-106 sq.m.) Super built-up Area","₹ 49.45  - 52.44 Lac₹ 4,600/sq.ft.",4,2 BHK2 Baths,"Posted on 17th Jun, 2021 by Builder"
100,Gokul Bhuvanam,2 BHK Residential Apartment in Nizampet,"1,360-1,435 sq.ft. (126-133 sq.m.) Super built-up Area",₹ 81.6  - 86.1 Lac,5,2 BHK2 Baths,"Posted on 04th Mar, 2021 by Builder"
101,Golden Circle,3 BHK Residential Apartment in Tukkuguda,"1,525-2,290 sq.ft. (142-213 sq.m.) Super built-up Area",Price on Request,5,3 BHK,"Posted on 08th Jul, 2021 by Builder"
102,Golden Circle,2 BHK Residential Apartment in Tukkuguda,"1,335-1,560 sq.ft. (124-145 sq.m.) Super built-up Area",Price on Request,5,2 BHK2 Baths,"Posted on 08th Jul, 2021 by Builder"
103,BSCPL Bollineni Bion,3 BHK Residential Apartment in Kondapur,"1,840-1,855 sq.ft. (171-172 sq.m.) Super built-up Area","₹ 1.7  - 1.74 Cr₹ 9,309/sq.ft.",5,3 BHK3 Baths,"Posted on 01st Jul, 2021 by Builder"
104,Golden Circle,1 BHK Residential Apartment in Tukkuguda,"840-1,215 sq.ft. (78-113 sq.m.) Super built-up Area",Price on Request,5,1 BHK1 Bath,"Posted on 08th Jul, 2021 by Builder"
105,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,080-9,000 sq.ft. (100-836 sq.m.) Plot Area",Price on Request,5,,"Posted on 20th Jul, 2021 by Dealer"
106,Alekhya NSR County,Residential land / Plot in Sangareddy,"1,503-4,500 sq.ft. (140-418 sq.m.) Plot Area",Price on Request,5,,"Posted on 26th Jul, 2021 by Dealer"
107,Bhashyam Premium County,Residential land / Plot in Tukkuguda,"1,080-9,000 sq.ft. (100-836 sq.m.) Plot Area",Price on Request,5,,"Posted on 20th Jul, 2021 by Dealer"
108,Sterling Heights,3 BHK Residential Apartment in Kompally,"1,425-1,566 sq.ft. (132-145 sq.m.) Super built-up Area","₹ 53.44  - 58.72 Lac₹ 3,750/sq.ft.",5,3 BHK,"Posted on 27th Jul, 2021 by Builder"
109,Urbanrise Residences,3 BHK Residential Apartment in Bachupally,"931-1,120 sq.ft. (86-104 sq.m.) Carpet Area",₹ 48.45  - 58.23 Lac,5,3 BHK,"Posted on 14th Jul, 2021 by Builder"
110,Aakriti Miro,3 BHK Residential Apartment in Nallagandla,"1,303-1,856 sq.ft. (121-172 sq.m.) Super built-up Area","₹ 82.08 Lac - 1.17 Cr₹ 6,299/sq.ft.",5,3 BHK,"Posted on 10th Jun, 2021 by Builder"
111,Virtusa Lorna Greens,Residential land / Plot in Shad nagar,"1,350-14,498 sq.ft. (125-1347 sq.m.) Plot Area","₹ 20.99 Lac - 2.25 Cr₹ 1,555/sq.ft.",5,,"Posted on 15th Jul, 2021 by Dealer"
112,ASBL Spire,3 BHK Residential Apartment in Kokapet,"1,905-2,120 sq.ft. (177-197 sq.m.) Super built-up Area",₹ 1.14  - 1.27 Cr,5,3 BHK3 Baths,"Posted on 21st Jul, 2021 by Dealer"
113,Vessella Meadows,5 Bedroom Independent House in Narsingi,"5,222-5,371 sq.ft. (485-499 sq.m.) Built-up Area","₹ 8.59  - 8.88 Cr₹ 16,500/sq.ft.",5,5 BHK,"Posted on 01st Jul, 2021 by Builder"
114,Aakriti Miro,2 BHK Residential Apartment in Nallagandla,"1,119-1,400 sq.ft. (104-130 sq.m.) Super built-up Area","₹ 70.49  - 88.19 Lac₹ 6,299/sq.ft.",5,2 BHK2 Baths,"Posted on 10th Jun, 2021 by Builder"
115,Vessella Meadows,4 Bedroom Independent House in Narsingi,"3,567-4,464 sq.ft. (331-415 sq.m.) Built-up Area","₹ 6.06  - 7.55 Cr₹ 16,666/sq.ft.",5,4 BHK,"Posted on 01st Jul, 2021 by Builder"
116,Pavan Green West,Residential land / Plot in Rudraram,"1,350-9,000 sq.ft. (125-836 sq.m.) Plot Area",₹ 28.5 Lac - 1.9 Cr,5,,"Posted on 17th Jul, 2021 by Dealer"
117,Rajapushpa Provincia,2 BHK Residential Apartment in Narsingi,"1,370 sq.ft. (127 sq.m.) Super built-up Area",₹ 91.78 Lac,5,2 BHK,Posted on Yesterday by Builder
